PRICE,BEDS,BATH,PROPERTYSQFT,TYPE_Condo for sale,TYPE_House for sale,TYPE_Land for sale,TYPE_Multi-family home for sale,TYPE_Townhouse for sale,SUBLOCALITY_Kings County,SUBLOCALITY_Manhattan,SUBLOCALITY_New York,SUBLOCALITY_Queens,SUBLOCALITY_Richmond County,SUBLOCALITY_Staten Island,SUBLOCALITY_The Bronx
595000,3,1.0,1316.0,False,True,False,False,False,True,False,False,False,False,False,False
215000,1,1.0,625.0,True,False,False,False,False,False,False,True,False,False,False,False
314000,3,1.0,1572.0,False,True,False,False,False,True,False,False,False,False,False,False
395000,5,1.0,1000.0,True,False,False,False,False,False,False,True,False,False,False,False
600000,2,2.0,2184.207862,False,False,False,True,False,False,False,False,False,False,False,True
790000,6,3.0,2520.0,False,False,False,True,False,False,False,False,False,True,False,False
539000,2,2.0,1100.0,False,False,False,False,False,False,False,False,False,False,False,False
1295000,4,2.0,1995.0,False,False,False,False,False,False,False,False,False,False,False,True
245000,3,1.0,2184.207862,False,True,False,False,False,False,False,False,False,False,False,True
400000,7,3.0,2385.0,False,True,False,False,False,False,False,False,False,False,False,True
55000000,8,8.0,12000.0,False,True,False,False,False,False,False,True,False,False,False,False
280000,1,1.0,1000.0,False,False,False,False,False,False,False,False,False,False,False,False
899000,3,2.0,1440.0,False,True,False,False,False,False,False,False,False,True,False,False
1495000,4,2.3738608579684373,3000.0,False,True,False,False,False,False,False,False,False,True,False,False
3950000,5,2.0,3528.0,False,True,False,False,False,True,False,False,False,False,False,False
325000,2,1.0,979.0,True,False,False,False,False,False,False,True,False,False,False,False
2695000,6,5.0,4720.0,False,False,False,False,True,False,False,True,False,False,False,False
694000,3,3.0,1360.0,False,True,False,False,False,False,False,False,False,True,False,False
688888,4,2.0,2846.0,False,True,False,False,False,False,False,False,False,False,False,True
400000,4,2.0,1980.0,False,True,False,False,False,True,False,False,False,False,False,False
346000,5,2.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
400000,4,2.0,1980.0,False,True,False,False,False,True,False,False,False,False,False,False
346000,5,2.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
265000,3,1.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
319000,3,2.0,1224.0,False,True,False,False,False,False,False,False,False,True,False,False
24800000,6,8.0,2184.207862,False,False,False,False,True,False,False,True,False,False,False,False
1100000,9,4.0,3276.0,False,True,False,False,False,False,False,True,False,False,False,False
309000,6,2.0,2184.207862,False,False,False,True,False,False,False,False,True,False,False,False
650000,3,2.0,1522.0,False,True,False,False,False,False,False,False,True,False,False,False
799000,4,2.0,1975.0,False,True,False,False,False,False,False,False,False,True,False,False
259000,3,2.0,1089.0,False,False,False,False,False,False,False,False,False,False,False,True
1195000,4,4.0,2704.0,False,True,False,False,False,False,False,False,False,True,False,False
17500000,5,6.0,5499.0,True,False,False,False,False,False,False,True,False,False,False,False
189000,2,2.0,966.0,True,False,False,False,False,False,False,False,False,False,True,False
759000,3,2.0,1200.0,True,False,False,False,False,False,False,False,True,False,False,False
275000,4,1.0,2184.207862,False,True,False,False,False,True,False,False,False,False,False,False
499000,1,1.0,630.0,True,False,False,False,False,False,False,True,False,False,False,False
1249000,3,2.3738608579684373,2184.207862,False,True,False,False,False,False,False,False,False,False,False,True
69900,2,1.0,700.0,False,False,False,False,False,False,False,False,False,False,False,True
1399000,3,4.0,1993.0,False,False,False,False,False,False,False,False,True,False,False,False
649000,3,2.0,1182.0,True,False,False,False,False,False,False,False,True,False,False,False
499000,5,2.0,1760.0,False,True,False,False,False,False,False,False,False,False,False,True
1050000,5,4.0,3132.0,False,False,False,True,False,False,False,False,False,False,False,True
650000,3,2.3738608579684373,1638.0,False,False,False,False,True,False,False,False,False,False,False,True
500000,4,3.0,1794.0,True,False,False,False,False,False,False,True,False,False,False,False
350000,2,1.0,490.0,False,True,False,False,False,False,False,False,False,True,False,False
1099000,4,2.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
90000,1,1.0,450.0,False,False,False,False,False,False,False,False,False,False,False,True
839000,4,2.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
659000,8,3.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
659000,8,3.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
399999,3,1.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
250000,3,1.0,2184.207862,True,False,False,False,False,False,False,False,False,False,False,False
650000,4,2.0,2244.0,False,True,False,False,False,False,False,False,True,False,False,False
1165000,3,4.0,3500.0,False,True,False,False,False,False,False,False,False,True,False,False
729900,3,2.0,1150.0,False,True,False,False,False,False,False,False,False,True,False,False
1880000,3,4.0,3150.0,False,True,False,False,False,True,False,False,False,False,False,False
449000,2,2.0,1549.0,False,False,False,False,False,False,False,False,True,False,False,False
1175000,3,2.0,2250.0,False,True,False,False,False,False,False,False,True,False,False,False
2750000,3,2.0,2184.207862,False,False,False,False,True,False,False,True,False,False,False,False
995000,3,2.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
2000000,3,2.0,2000.0,True,False,False,False,False,False,True,False,False,False,False,False
15000000,8,6.0,2184.207862,False,False,False,False,True,True,False,False,False,False,False,False
2800000,4,6.0,8333.0,False,True,False,False,False,False,False,False,False,True,False,False
2600000,5,4.0,3024.0,False,True,False,False,False,False,False,False,True,False,False,False
3500000,6,6.0,6000.0,False,False,False,False,True,False,False,True,False,False,False,False
550000,1,1.0,2184.207862,False,False,False,False,False,False,False,True,False,False,False,False
675000,3,2.0,2400.0,False,True,False,False,False,True,False,False,False,False,False,False
879000,4,2.0,1238.0,False,True,False,False,False,False,False,False,False,True,False,False
918888,3,2.0,2184.207862,False,True,False,False,False,False,False,False,True,False,False,False
2400000,4,2.0,1892.0,False,False,False,False,True,True,False,False,False,False,False,False
